Emissionsfaktor;Art
0,478;Strom
-0,401;Photovoltaik
0,228;Fernwärme (E.ON)
0,17;Fernwärme (Stadtwerke Heidelberg)
0,247;Erdgas
0,318;Erdöl
0,228;Kälte
0,001589;Brauchwasser
0,000164;MIV
0,000051;Regionalverkehr
0,000029;Fernzüge
0,000214;Kurzstreckenflug
0,000214;Mittelstreckenflug
0,000198;Langstreckenflug
0,000051;ÖPNV
0,000027;ÖPFV
0,00265;Dieselantrieb
0,00232;Benzinantrieb
0,00000385;Kopierpapier (Eco Label)
0,000005;Kopierpapier (Keine Angabe)
0,00000385;Kopierpapier (Blauer Engel)
0,00012;Toilettenpapier
0,0882;Monitore
0,1;Handys
0,15;Tablets
0,31;Notebooks
0,35;Desktop-PCs mit Monitor
0,245;Geschirrspüler
0,35;Restmüll
0,001589;Trinkwasser
0,001589;Wasser
0,2587;Desktop-PCs
0,000201;Elektroantrieb
0,257;Kühl- und Gefriergeräte
0,00;Altpapier
0,00;Biomüll
