Adresse;Campus;Zeitraum;Menge;Einheit;Art;Versorger;Gebäude;Baujahr;Sanierung;Nettogrundfläche
Hauptstraße 207;Campus Altstadt;Jahr;302,189;MWh;Strom;Pfalzwerke AG;1010;1742;;3551,99
Hauptstraße 207-209;Campus Altstadt;Jahr;278,605;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;1010;1742;;3551,99
Karlstraße 2;Campus Altstadt;Jahr;274,44;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;1030;1744;;1082,81
Karlstraße 16;Campus Altstadt;Jahr;118,352;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;1040;1964;;1390,16
Hauptstraße 216;Campus Altstadt;Jahr;1,405;MWh;Strom;Pfalzwerke AG;1050;;;157,64
Hauptstraße 216;Campus Altstadt;Jahr;0,29;MWh;Strom;Pfalzwerke AG;1050;;;157,64
Theoretikum 70%;Campus INF;Jahr;10781,89013;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;1054;;;
Trafostation 1/5;Campus INF;Jahr;51,141;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;1055;;;
Plankengasse 3;Campus Altstadt;Jahr;126,346;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;1060;;;1227,92
Trafostation 2/0;Campus INF;Jahr;2904,55403;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;1063;;;
Trafostation 1/6;Campus INF;Jahr;4483,46633;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;1067;;;
Hauptstraße 231;Campus Altstadt;Jahr;2,919;MWh;Strom;Pfalzwerke AG;1073;;;299,05
Theoretikum I;Campus INF;Jahr;5484,718;MWh;Kälte;E.ON Energy Solutions GmbH;1079;;;
Theoretikum II;Campus INF;Jahr;775,433;MWh;Kälte;E.ON Energy Solutions GmbH;1080;;;857,25
Hauptstraße 242;Campus Altstadt;Jahr;17,709;MWh;Strom;Pfalzwerke AG;1080;;;857,25
Hauptstraße 242;Campus Altstadt;Jahr;101,657;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;1080;;;857,25
Theoretikum 70%;Campus INF;Jahr;16953,265;MWh;Wärme;E.ON Energy Solutions GmbH;1134;;;
Theoretikum;Campus INF;Jahr;694,006;MWh;Wärme;E.ON Energy Solutions GmbH;1138;;;
Theoretikum;Campus INF;Jahr;0,6244;MWh;Gas;Universitätsklinikum Heidelberg;1161;;;
Kisselgasse 1;Campus Altstadt;Jahr;151,495;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;1200;1974;;3783,77
Marstallhof 1;Campus Altstadt;Jahr;1200,379;MWh;Strom;Pfalzwerke AG;2040;1965;;6842,52
Marstallhof 4;Campus Altstadt;Jahr;1157,2;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2040;1965;;6842,52
Fischmarkt 2;Campus Altstadt;Jahr;52,871;MWh;Strom;Pfalzwerke AG;2065;;;1487,35
Marstallstraße 6;Campus Altstadt;Jahr;222,981;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2070;1826;;2436,48
Grabengasse 1;Campus Altstadt;Jahr;469,181;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2090;1718;;2385,02
Grabengasse 14;Campus Altstadt;Jahr;2336,837;MWh;Strom;Pfalzwerke AG;2100;1978;;23528,62
Grabengasse 14;Campus Altstadt;Jahr;1460,66;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2100;1978;;23528,62
Sandgasse 1;Campus Altstadt;Jahr;0,182;MWh;Strom;Pfalzwerke AG;2101;1977;;1989,9
Plöck 107-109;Campus Altstadt;Jahr;751,2;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2130;1905;;11729,98
Augustinergasse 7;Campus Altstadt;Jahr;394,165;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2140;1713;;1064,49
Grabengasse 3;Campus Altstadt;Jahr;1543,602;MWh;Strom;Pfalzwerke AG;2170;1931;;12336,86
Grabengasse 3-5;Campus Altstadt;Jahr;1212,44;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2171;1990;;2948,06
Schurmanstraße 2;Campus Bergheim;Jahr;5,576;MWh;Strom;Pfalzwerke AG;2190;1716;;2057,48
Schulgasse 6;Campus Altstadt;Jahr;271,521;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2190;1716;;2057,48
Seminarstraße 2;Campus Altstadt;Jahr;466,603;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2200;1752;;6975,87
Hauptstraße 120;Campus Altstadt;Jahr;5,663;MWh;Strom;Pfalzwerke AG;2205;;;955,81
Hauptstraße 120;Campus Altstadt;Jahr;18,994;MWh;Strom;Pfalzwerke AG;2205;;;955,81
Hauptstraße 120;Campus Altstadt;Jahr;89,892;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2205;;;955,81
Hauptstraße 113;Campus Altstadt;Jahr;1,962;MWh;Strom;Pfalzwerke AG;2206;;;212
Seminarstraße 3;Campus Altstadt;Jahr;392,918;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2210;1851;;4808,43
Kettengasse 12;Campus Altstadt;Jahr;300,8;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2220;1716;;3791,94
Seminarstraße 4;Campus Altstadt;Jahr;166,006;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2230;1858;;2371,97
Unter der Schanz 1;Campus Altstadt;Jahr;0,952;MWh;Strom;Pfalzwerke AG;2270;;;624,3
Königstuhl;Campus Altstadt;Jahr;507,4222222;MWh;Öl;Haisch Mineralöle;2805;1914;;735,88
Königstuhl 11;Campus Altstadt;Jahr;15,208;MWh;Strom;Pfalzwerke AG;2805;1914;;735,88
Königstuhl 11;Campus Altstadt;Jahr;3,951;MWh;Strom;Pfalzwerke AG;2805;1914;;735,88
Königstuhl 12;Campus Altstadt;Jahr;113,267;MWh;Strom;Pfalzwerke AG;2805;1914;;735,88
Brunnengasse 1;Campus Altstadt;Jahr;26,132;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;3010;1850;;3359,24
Hauptstraße 47;Campus Altstadt;Jahr;277,31;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;3020;1865;;4511,76
Hauptstraße 47;Campus Altstadt;Jahr;382,906;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;3020;1865;;4511,76
Hauptstraße 52;Campus Altstadt;Jahr;179,655;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;3030;1709;;2100,52
Akademiestraße 3;Campus Altstadt;Jahr;166,182;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;3040;1875;;1760,64
Akademiestraße 3 | Plöck 57;Campus Altstadt;Jahr;361,054;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;3051;1892;;3134,37
Akademiestraße 4;Campus Altstadt;Jahr;487,722;MWh;Strom;Pfalzwerke AG;3060;1986;;5226,86
Akademiestraße 4;Campus Altstadt;Jahr;324,46;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;3060;1986;;5226,86
Plöck 55;Campus Altstadt;Jahr;167,297;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;3070;1856;;2379,03
